metric,source,target,significant_frequency,label
cpu_usage,tenant-ntk,tenant-dsk,12,tenant-ntk → tenant-dsk
cpu_usage,tenant-mem,tenant-dsk,10,tenant-mem → tenant-dsk
cpu_usage,tenant-mem,tenant-ntk,9,tenant-mem → tenant-ntk
cpu_usage,tenant-cpu,tenant-dsk,8,tenant-cpu → tenant-dsk
cpu_usage,tenant-cpu,tenant-ntk,8,tenant-cpu → tenant-ntk
cpu_usage,tenant-cpu,tenant-nsy,7,tenant-cpu → tenant-nsy
cpu_usage,tenant-ntk,tenant-mem,7,tenant-ntk → tenant-mem
cpu_usage,tenant-dsk,tenant-ntk,7,tenant-dsk → tenant-ntk
cpu_usage,tenant-ntk,tenant-nsy,7,tenant-ntk → tenant-nsy
cpu_usage,tenant-ntk,tenant-cpu,7,tenant-ntk → tenant-cpu
cpu_usage,tenant-nsy,tenant-dsk,6,tenant-nsy → tenant-dsk
cpu_usage,tenant-mem,tenant-cpu,6,tenant-mem → tenant-cpu
cpu_usage,tenant-nsy,tenant-cpu,6,tenant-nsy → tenant-cpu
cpu_usage,tenant-nsy,tenant-ntk,5,tenant-nsy → tenant-ntk
cpu_usage,tenant-dsk,tenant-nsy,5,tenant-dsk → tenant-nsy
disk_io_total,tenant-nsy,tenant-mem,5,tenant-nsy → tenant-mem
disk_io_total,tenant-dsk,tenant-nsy,4,tenant-dsk → tenant-nsy
disk_io_total,tenant-dsk,tenant-ntk,4,tenant-dsk → tenant-ntk
disk_io_total,tenant-mem,tenant-ntk,4,tenant-mem → tenant-ntk
disk_io_total,tenant-ntk,tenant-cpu,4,tenant-ntk → tenant-cpu
disk_io_total,tenant-ntk,tenant-mem,4,tenant-ntk → tenant-mem
disk_io_total,tenant-mem,tenant-cpu,4,tenant-mem → tenant-cpu
disk_io_total,tenant-cpu,tenant-mem,3,tenant-cpu → tenant-mem
disk_io_total,tenant-nsy,tenant-dsk,3,tenant-nsy → tenant-dsk
disk_io_total,tenant-nsy,tenant-cpu,3,tenant-nsy → tenant-cpu
disk_io_total,tenant-cpu,tenant-ntk,3,tenant-cpu → tenant-ntk
disk_io_total,tenant-dsk,tenant-cpu,3,tenant-dsk → tenant-cpu
disk_io_total,tenant-dsk,tenant-mem,3,tenant-dsk → tenant-mem
disk_io_total,tenant-cpu,tenant-nsy,2,tenant-cpu → tenant-nsy
disk_io_total,tenant-mem,tenant-nsy,2,tenant-mem → tenant-nsy
memory_usage,tenant-dsk,tenant-cpu,3,tenant-dsk → tenant-cpu
memory_usage,tenant-cpu,tenant-dsk,2,tenant-cpu → tenant-dsk
memory_usage,tenant-mem,tenant-cpu,2,tenant-mem → tenant-cpu
memory_usage,tenant-cpu,tenant-mem,2,tenant-cpu → tenant-mem
memory_usage,tenant-ntk,tenant-cpu,2,tenant-ntk → tenant-cpu
memory_usage,tenant-cpu,tenant-ntk,1,tenant-cpu → tenant-ntk
memory_usage,tenant-mem,tenant-ntk,1,tenant-mem → tenant-ntk
memory_usage,tenant-dsk,tenant-ntk,1,tenant-dsk → tenant-ntk
memory_usage,tenant-ntk,tenant-mem,1,tenant-ntk → tenant-mem
memory_usage,tenant-mem,tenant-dsk,1,tenant-mem → tenant-dsk
memory_usage,tenant-dsk,tenant-mem,1,tenant-dsk → tenant-mem
memory_usage,tenant-cpu,tenant-nsy,0,tenant-cpu → tenant-nsy
memory_usage,tenant-mem,tenant-nsy,0,tenant-mem → tenant-nsy
memory_usage,tenant-dsk,tenant-nsy,0,tenant-dsk → tenant-nsy
memory_usage,tenant-nsy,tenant-cpu,0,tenant-nsy → tenant-cpu
network_throughput,tenant-cpu,tenant-dsk,4,tenant-cpu → tenant-dsk
network_throughput,tenant-ntk,tenant-dsk,4,tenant-ntk → tenant-dsk
network_throughput,tenant-mem,tenant-cpu,4,tenant-mem → tenant-cpu
network_throughput,tenant-mem,tenant-dsk,4,tenant-mem → tenant-dsk
network_throughput,tenant-ntk,tenant-mem,3,tenant-ntk → tenant-mem
network_throughput,tenant-dsk,tenant-mem,3,tenant-dsk → tenant-mem
network_throughput,tenant-cpu,tenant-mem,3,tenant-cpu → tenant-mem
network_throughput,tenant-dsk,tenant-cpu,3,tenant-dsk → tenant-cpu
network_throughput,tenant-ntk,tenant-cpu,2,tenant-ntk → tenant-cpu
network_throughput,tenant-ntk,tenant-nsy,2,tenant-ntk → tenant-nsy
network_throughput,tenant-cpu,tenant-ntk,1,tenant-cpu → tenant-ntk
network_throughput,tenant-cpu,tenant-nsy,1,tenant-cpu → tenant-nsy
network_throughput,tenant-nsy,tenant-ntk,1,tenant-nsy → tenant-ntk
network_throughput,tenant-mem,tenant-ntk,1,tenant-mem → tenant-ntk
network_throughput,tenant-dsk,tenant-ntk,1,tenant-dsk → tenant-ntk
